Dates,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2021-04-10,0.49019607843137253,1.6666666666666667,3.4313725490196076,1.9215686274509804,13.941176470588236,0.1568627450980392,0.7254901960784313,2.4901960784313726,0.803921568627451,2.607843137254902,2.019607843137255,2.823529411764706,51
2021-04-11,0.45588235294117646,1.8676470588235294,3.676470588235294,2.0588235294117645,13.911764705882353,0.17647058823529413,0.7941176470588235,2.5441176470588234,0.8088235294117647,2.764705882352941,2.2205882352941178,2.7058823529411766,68
2021-04-12,0.5294117647058824,1.607843137254902,3.9019607843137254,1.803921568627451,14.372549019607844,0.19607843137254902,0.7647058823529411,2.176470588235294,0.7843137254901961,2.6666666666666665,1.9607843137254901,2.8627450980392157,51
2021-04-13,0.3088235294117647,1.6838235294117647,3.786764705882353,2.1691176470588234,14.639705882352942,0.029411764705882353,0.7352941176470589,2.2573529411764706,0.8970588235294118,2.4411764705882355,2.2058823529411766,2.4044117647058822,136
2021-04-14,0.28272251308900526,1.7172774869109948,3.5968586387434556,2.089005235602094,14.3717277486911,0.031413612565445025,0.7591623036649214,2.4031413612565444,0.774869109947644,2.5235602094240837,2.1780104712041886,2.5026178010471205,191
2021-04-15,0.390625,1.640625,3.640625,2.03125,14.734375,0.09375,0.71875,2.5,0.84375,2.421875,2.1875,2.390625,64
2021-04-16,0.26153846153846155,1.7538461538461538,3.7384615384615385,2.476923076923077,14.584615384615384,0.046153846153846156,0.8153846153846154,2.8,0.9230769230769231,2.4615384615384617,2.4307692307692306,2.2,65
2021-04-17,0.2846153846153846,1.6923076923076923,3.5,2.1769230769230767,14.13076923076923,0.007692307692307693,0.7538461538461538,2.4153846153846152,0.8846153846153846,2.476923076923077,2.2,2.2615384615384615,130
2021-04-18,0.5,1.4696969696969697,3.893939393939394,1.5454545454545454,14.106060606060606,0.10606060606060606,0.5909090909090909,2.242424242424242,0.7727272727272727,2.4393939393939394,1.606060606060606,2.378787878787879,66
2021-04-19,0.3464566929133858,1.7086614173228347,3.826771653543307,2.173228346456693,14.692913385826772,0.03937007874015748,0.7637795275590551,2.4960629921259843,0.8503937007874016,2.456692913385827,2.188976377952756,2.3307086614173227,127
2021-04-20,0.4782608695652174,1.434782608695652,3.9565217391304346,1.6521739130434783,13.91304347826087,0.13043478260869565,0.6521739130434783,2.347826086956522,0.782608695652174,2.5652173913043477,1.8695652173913044,1.9565217391304348,23
2021-04-21,0.21875,1.9166666666666667,3.2916666666666665,2.4479166666666665,14.520833333333334,0.0,0.8020833333333334,2.4583333333333335,0.9895833333333334,2.5208333333333335,2.625,2.21875,96
2021-04-22,0.24770642201834864,1.889908256880734,3.6422018348623855,2.2752293577981653,14.8348623853211,0.0,0.7706422018348624,2.5688073394495414,1.0091743119266054,2.55045871559633,2.3211009174311927,2.3394495412844036,109
2021-04-23,0.2857142857142857,2.0952380952380953,3.2738095238095237,2.2738095238095237,15.023809523809524,0.0,0.7976190476190477,2.4523809523809526,0.9761904761904762,2.5,2.392857142857143,2.1904761904761907,84
2021-04-24,0.28205128205128205,2.051282051282051,4.384615384615385,2.282051282051282,14.41025641025641,0.0,0.7948717948717948,2.41025641025641,0.9743589743589743,2.358974358974359,2.4615384615384617,2.5128205128205128,39
2021-04-25,0.21621621621621623,2.054054054054054,3.72972972972973,2.5675675675675675,14.864864864864865,0.0,0.8378378378378378,2.6216216216216215,0.918918918918919,2.324324324324324,2.5135135135135136,2.3783783783783785,37
2021-04-26,0.3194444444444444,1.8819444444444444,3.4930555555555554,2.1458333333333335,14.715277777777779,0.027777777777777776,0.7430555555555556,2.5069444444444446,0.8958333333333334,2.4930555555555554,2.2708333333333335,2.2222222222222223,144
2021-04-27,0.19008264462809918,2.074380165289256,3.479338842975207,2.4628099173553717,14.975206611570249,0.0,0.8181818181818182,2.5289256198347108,0.9669421487603306,2.5041322314049586,2.628099173553719,2.43801652892562,121
2021-04-28,0.23404255319148937,2.106382978723404,3.4468085106382977,2.6595744680851063,14.787234042553191,0.0,0.8936170212765957,2.5531914893617023,0.9361702127659575,2.595744680851064,2.6382978723404253,2.425531914893617,47
2021-04-29,0.13043478260869565,2.3333333333333335,3.0579710144927534,2.7681159420289854,15.130434782608695,0.014492753623188406,0.927536231884058,2.5072463768115942,1.0724637681159421,2.782608695652174,2.9420289855072466,2.246376811594203,69
2021-04-30,0.21739130434782608,2.108695652173913,3.9130434782608696,2.5217391304347827,14.630434782608695,0.0,0.8913043478260869,2.5652173913043477,1.0434782608695652,2.4782608695652173,2.5434782608695654,2.5652173913043477,46
2021-05-01,0.21428571428571427,2.357142857142857,3.642857142857143,2.4285714285714284,15.285714285714286,0.0,0.8571428571428571,2.2142857142857144,1.0714285714285714,2.5714285714285716,2.7142857142857144,2.357142857142857,14
