Dates,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2/26/2021,0.347826087,0.456521739,3.130434783,0.804347826,13.04347826,0,0.304347826,1.282608696,0.260869565,1.282608696,0.565217391,3.086956522,46
2/27/2021,0.227272727,0.818181818,3.136363636,1.045454545,12,0,0.5,1.363636364,0.5,1.727272727,1.318181818,3.090909091,22
2/28/2021,0.392857143,0.928571429,3.464285714,1.285714286,12.82142857,0,0.392857143,1.892857143,0.464285714,1.714285714,1.178571429,3.178571429,28
3/1/2021,0.365853659,0.707317073,3.12195122,1.219512195,12.68292683,0.048780488,0.390243902,1.707317073,0.414634146,1.926829268,1.024390244,2.804878049,41
3/2/2021,0.433333333,1,2.9,1.2,12.3,0,0.4,1.466666667,0.333333333,2.033333333,1.233333333,3.233333333,30
3/3/2021,0.31372549,0.843137255,3.37254902,1.333333333,12.70588235,0,0.37254902,1.882352941,0.509803922,1.901960784,1.235294118,2.764705882,51
3/4/2021,0.340909091,1,3.272727273,1.363636364,13.15909091,0.045454545,0.409090909,1.886363636,0.613636364,1.840909091,1.431818182,2.727272727,44
3/5/2021,0.420289855,0.826086957,3.028985507,1.072463768,13.46376812,0.043478261,0.405797101,1.68115942,0.434782609,1.927536232,1.028985507,2.913043478,69
3/6/2021,0.407407407,0.62962963,3.148148148,0.962962963,11.62962963,0.074074074,0.37037037,1.62962963,0.407407407,1.703703704,1.111111111,3.740740741,27
3/7/2021,0.404255319,0.936170213,3.404255319,1.14893617,13.46808511,0.170212766,0.489361702,1.872340426,0.425531915,1.829787234,1.234042553,3.085106383,47
3/8/2021,0.369863014,1.123287671,2.904109589,1.465753425,13.63013699,0.04109589,0.547945205,2.02739726,0.561643836,1.904109589,1.438356164,2.767123288,73
3/9/2021,0.342857143,1.342857143,3.142857143,1.657142857,13.41428571,0.085714286,0.614285714,2.142857143,0.671428571,1.828571429,1.757142857,2.914285714,70
3/10/2021,0.469387755,0.918367347,3.285714286,1.12244898,13.63265306,0.020408163,0.367346939,1.693877551,0.489795918,1.93877551,1.204081633,3.204081633,49
3/11/2021,0.282051282,1.41025641,3.205128205,1.615384615,13.43589744,0.153846154,0.692307692,1.923076923,0.615384615,2.051282051,1.846153846,2.923076923,39
3/12/2021,0.358974359,1.051282051,3.461538462,1.333333333,12.53846154,0.128205128,0.487179487,1.897435897,0.487179487,1.615384615,1.307692308,3.256410256,39
3/13/2021,0.3125,0.916666667,3.1875,1.458333333,13.27083333,0.041666667,0.541666667,2.0625,0.583333333,1.708333333,1.270833333,3.604166667,48
3/14/2021,0.304878049,1.268292683,3.231707317,1.634146341,13.15853659,0.048780488,0.56097561,2.012195122,0.609756098,1.975609756,1.646341463,3.024390244,82
3/15/2021,0.32,1.34,3.76,1.76,13.42,0.1,0.68,1.9,0.64,2.12,1.66,2.7,50
3/16/2021,0.465517241,1.189655172,3.551724138,1.689655172,13.43103448,0.120689655,0.620689655,2.120689655,0.568965517,2.275862069,1.655172414,2.896551724,58
3/17/2021,0.333333333,0.523809524,3.761904762,0.761904762,12.71428571,0.047619048,0.238095238,1.523809524,0.333333333,1.666666667,0.666666667,2.857142857,21
3/18/2021,0.388888889,1.555555556,3.055555556,1.703703704,14.12962963,0.148148148,0.685185185,2.203703704,0.648148148,2.111111111,1.666666667,2.796296296,54
3/19/2021,0.47826087,1.239130435,3.108695652,1.673913043,13.13043478,0.108695652,0.630434783,2.391304348,0.543478261,2.260869565,1.652173913,2.760869565,46
3/20/2021,0.492537313,0.985074627,3.701492537,1.388059701,13.32835821,0.149253731,0.507462687,2.149253731,0.641791045,2.268656716,1.343283582,3.179104478,67
3/21/2021,0.644736842,1.197368421,3.631578947,1.381578947,13.60526316,0.184210526,0.526315789,2.092105263,0.552631579,2.697368421,1.394736842,3.052631579,76
3/22/2021,0.25,1,3.75,1.583333333,14.41666667,0.083333333,0.5,2.5,0.666666667,1.916666667,1.416666667,3.166666667,12
3/23/2021,0.4,1.425,3.8,1.775,14.05,0.075,0.6,2.275,0.75,2.1,1.775,2.325,40
3/24/2021,0.277777778,1.333333333,3.319444444,1.763888889,13.45833333,0.027777778,0.611111111,2.236111111,0.625,2.194444444,1.625,2.541666667,72
3/25/2021,0.383838384,1.232323232,3.555555556,1.606060606,13.80808081,0.131313131,0.646464646,2.141414141,0.666666667,2.292929293,1.737373737,2.868686869,99
3/26/2021,0.545454545,1.636363636,3.818181818,1.96969697,13.42424242,0.181818182,0.757575758,2.424242424,0.787878788,2.515151515,2.151515152,2.848484848,33
3/27/2021,0.392857143,1.464285714,3.285714286,1.892857143,13.96428571,0.071428571,0.678571429,2.178571429,0.857142857,2.464285714,1.857142857,2.964285714,28
3/28/2021,0.5,1.5,3.846153846,1.692307692,13.65384615,0.192307692,0.653846154,1.961538462,0.846153846,2.653846154,2,2.692307692,26
3/29/2021,0.5,1.631578947,3.736842105,1.921052632,14.02631579,0.131578947,0.815789474,2.421052632,0.736842105,2.736842105,2.078947368,2.815789474,38
3/30/2021,0.287671233,1.684931507,3.493150685,2.136986301,13.7260274,0.109589041,0.835616438,2.328767123,0.739726027,2.410958904,2.164383562,2.575342466,73
3/31/2021,0.4,1.34,3.84,1.7,14.12,0.1,0.62,2.48,0.82,2.52,1.72,2.68,50
4/1/2021,0.487394958,1.201680672,3.773109244,1.56302521,14.06722689,0.109243697,0.630252101,2.420168067,0.655462185,2.31092437,1.672268908,2.478991597,119
4/2/2021,0.264367816,1.482758621,3.505747126,2.057471264,13.55172414,0.057471264,0.770114943,2.643678161,0.735632184,2.298850575,2.045977011,2.908045977,87
4/3/2021,0.464285714,1.303571429,3.767857143,1.642857143,13.98214286,0.178571429,0.696428571,2.321428571,0.642857143,2.5,1.714285714,2.589285714,56
4/4/2021,0.256410256,1.717948718,3.948717949,2.051282051,14.07692308,0.128205128,0.820512821,2.358974359,0.846153846,2.358974359,2.230769231,2.692307692,39
4/5/2021,0.646153846,1.492307692,3.984615385,1.630769231,13.61538462,0.246153846,0.707692308,2.169230769,0.723076923,2.661538462,1.892307692,2.784615385,65
4/6/2021,0.333333333,1.757575758,3.696969697,2.121212121,14.77272727,0.121212121,0.787878788,2.303030303,0.878787879,2.484848485,2.166666667,2.515151515,66
4/7/2021,0.413793103,1.913793103,3.396551724,2.25862069,14.4137931,0.137931034,0.879310345,2.413793103,0.74137931,2.586206897,2.362068966,2.637931034,58
4/8/2021,0.292682927,1.719512195,3.792682927,2.182926829,14.45121951,0.109756098,0.792682927,2.463414634,0.865853659,2.536585366,2.231707317,2.93902439,82
4/9/2021,0.253968254,1.603174603,3.476190476,2.063492063,14.66666667,0.142857143,0.682539683,2.444444444,0.777777778,2.380952381,2.206349206,2.698412698,63
4/10/2021,0.490196078,1.666666667,3.431372549,1.921568627,13.94117647,0.156862745,0.725490196,2.490196078,0.803921569,2.607843137,2.019607843,2.823529412,51
4/11/2021,0.455882353,1.867647059,3.676470588,2.058823529,13.91176471,0.176470588,0.794117647,2.544117647,0.808823529,2.764705882,2.220588235,2.705882353,68
4/12/2021,0.529411765,1.607843137,3.901960784,1.803921569,14.37254902,0.196078431,0.764705882,2.176470588,0.784313725,2.666666667,1.960784314,2.862745098,51
4/13/2021,0.308823529,1.683823529,3.786764706,2.169117647,14.63970588,0.029411765,0.735294118,2.257352941,0.897058824,2.441176471,2.205882353,2.404411765,136
4/14/2021,0.282722513,1.717277487,3.596858639,2.089005236,14.37172775,0.031413613,0.759162304,2.403141361,0.77486911,2.523560209,2.178010471,2.502617801,191
4/15/2021,0.390625,1.640625,3.640625,2.03125,14.734375,0.09375,0.71875,2.5,0.84375,2.421875,2.1875,2.390625,64
