Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-03-18,MW190312.1,USA: AZ,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-18,MW190309.1,USA: AZ,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-18,MW190195.1,USA: AZ,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-18,MW190316.1,USA: AZ,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-19,MW190310.1,USA: AZ,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-19,MW190311.1,USA: AZ,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-19,MW190825.1,USA: AZ,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-19,MW064317.1,USA: AZ,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-20,MW065101.1,USA: AZ,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-27,MT772432.1,"USA: Arizona, Maricopa county",0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-11-02,MW406574.1,USA: AZ,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-11-03,MW406577.1,USA: AZ,0.0,0.0,3.0,0.0,13.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0
2020-11-09,MZ028858.1,USA: AZ,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0
2020-12-04,MZ028869.1,USA: AZ,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
2020-12-14,MW550475.1,USA: AZ,0.0,2.0,3.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0
2020-12-14,MZ028866.1,USA: AZ,0.0,2.0,3.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0
2020-12-14,MZ028885.1,USA: AZ,0.0,0.0,2.0,0.0,12.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0
2020-12-24,MW634111.1,USA: Arizona,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-12-25,MW634063.1,USA: Arizona,0.0,1.0,2.0,2.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0
2020-12-26,MW634424.1,USA: Arizona,0.0,2.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0
2020-12-26,MW634246.1,USA: Arizona,0.0,0.0,3.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
2020-12-26,MW634133.1,USA: Arizona,0.0,2.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0
2020-12-26,MW634131.1,USA: Arizona,1.0,1.0,2.0,1.0,11.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0
2020-12-26,MW634124.1,USA: Arizona,0.0,2.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
2020-12-26,MW634121.1,USA: Arizona,0.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-12-26,MW634115.1,USA: Arizona,0.0,1.0,2.0,2.0,15.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0
2020-12-26,MW634090.1,USA: Arizona,0.0,0.0,5.0,0.0,17.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0
2020-12-26,MW634078.1,USA: Arizona,0.0,1.0,4.0,0.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0
2020-12-26,MW634076.1,USA: Arizona,0.0,1.0,4.0,0.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0
2020-12-26,MW634061.1,USA: Arizona,1.0,0.0,3.0,1.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-12-26,MW485392.1,USA: Arizona,0.0,0.0,3.0,0.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2020-12-26,MW634102.1,USA: Arizona,0.0,0.0,6.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2020-12-26,MW634099.1,USA: Arizona,1.0,1.0,2.0,0.0,11.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0
2020-12-28,MZ028871.1,USA: AZ,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
