Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-03-20,MW065200.1,USA: TX,0.0,0.0,1.0,0.0,8.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-20,MW190921.1,USA: TX,0.0,0.0,1.0,0.0,6.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-23,MW064449.1,USA: TX,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-27,MW064695.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-27,MW047315.1,"USA: Texas, Galveston",0.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-03-27,MW047316.1,"USA: Texas, Galveston",0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-27,MW047317.1,"USA: Texas, Galveston",0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-04-01,MW047313.1,"USA: Texas, Galveston",0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-01,MW047309.1,"USA: Texas, Galveston",0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-04-01,MW047310.1,"USA: Texas, Galveston",0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-04-01,MW047311.1,"USA: Texas, Galveston",0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-01,MW047312.1,"USA: Texas, Galveston",0.0,0.0,1.0,0.0,8.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-04-01,MW047314.1,"USA: Texas, Galveston",0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-04-01,MW047318.1,"USA: Texas, Galveston",0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-10,MT786839.1,USA: TX,0.0,0.0,1.0,0.0,5.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-04-10,MT786838.1,USA: TX,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-04-10,MT786837.1,USA: TX,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-04-10,MT786840.1,USA: TX,0.0,0.0,1.0,0.0,5.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-04-10,MT806800.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-04-10,MT806799.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-04-10,MT806801.1,USA: TX,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-04-27,MT786842.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-04-28,MT806802.1,USA: TX,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-04-29,MT786844.1,USA: TX,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-04-29,MT786845.1,USA: TX,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-30,MT806803.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2020-04-30,MT806805.1,USA: TX,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-04-30,MT786846.1,USA: TX,0.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-04-30,MT786847.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2020-05-01,MT806804.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-05-08,MW010235.1,USA: TX,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-05-08,MW010236.1,USA: TX,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-05-14,MW093454.1,USA: TX,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-05-14,MW093485.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-05-14,MW093484.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-05-14,MW093478.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-05-14,MW093477.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-05-14,MW093486.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-05-14,MW093467.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-05-14,MW093458.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2020-05-14,MW134008.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-05-14,MW093471.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06-03,MW736092.1,USA: TX,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2020-06-03,MW736089.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-05,MW736093.1,USA: TX,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-06-05,MW736094.1,USA: TX,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-05,MW736097.1,USA: TX,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
2020-06-05,MW736095.1,USA: TX,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-05,MW736098.1,USA: TX,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06-09,MW816561.1,USA: TX,0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-06-09,MW816560.1,USA: TX,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
2020-06-09,MW799765.1,USA: TX,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
2020-06-09,MW799766.1,USA: TX,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
2020-06-09,MW799767.1,USA: TX,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
2020-06-09,MW799769.1,USA: TX,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-09,MW799770.1,USA: TX,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-09,MW799771.1,USA: TX,0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-06-09,MW799772.1,USA: TX,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
2020-06-09,MW799773.1,USA: TX,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
2020-06-09,MW799775.1,USA: TX,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06-09,MW799776.1,USA: TX,0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2020-06-09,MW815727.1,USA: TX,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-06-09,MW815728.1,USA: TX,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0
2020-06-09,MW815729.1,USA: TX,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0
2020-06-09,MW816557.1,USA: TX,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
2020-06-09,MW816559.1,USA: TX,0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-06-09,MW799774.1,USA: TX,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
2020-06-09,MW736105.1,USA: TX,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-11,MW093532.1,USA: TX,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-12,MW424836.1,USA: TX,0.0,0.0,2.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0
2020-06-13,MW815732.1,USA: TX,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-06-13,MW815736.1,USA: TX,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
