Dates,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2021-01-15,0.25,0.375,3.0,0.0,11.0,0.0,0.125,1.25,0.0,1.0,0.75,3.5,8
2021-01-16,0.21428571428571427,0.14285714285714285,3.2857142857142856,0.2857142857142857,11.357142857142858,0.07142857142857142,0.21428571428571427,1.1428571428571428,0.21428571428571427,1.2857142857142858,0.5714285714285714,3.5714285714285716,14
2021-01-17,0.08333333333333333,0.25,3.5,0.25,11.0,0.08333333333333333,0.08333333333333333,1.0833333333333333,0.16666666666666666,1.6666666666666667,0.5833333333333334,3.25,12
2021-01-18,0.2857142857142857,0.14285714285714285,2.857142857142857,0.14285714285714285,11.857142857142858,0.0,0.14285714285714285,1.0,0.2857142857142857,1.0,0.14285714285714285,2.857142857142857,7
2021-01-19,0.5,0.0,3.5,0.0,11.0,0.0,0.0,1.0,0.5,0.5,0.0,5.0,2
2021-01-20,0.5,0.3333333333333333,3.1666666666666665,0.5,10.333333333333334,0.0,0.0,1.0,0.0,1.3333333333333333,0.3333333333333333,3.3333333333333335,6
2021-01-21,0.6666666666666666,0.0,2.3333333333333335,0.3333333333333333,10.0,0.0,0.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,0.0,2.3333333333333335,3
2021-01-22,0.0,0.25,3.25,0.25,10.75,0.0,0.0,0.5,0.0,2.5,0.75,3.75,4
2021-01-23,0.0,0.16666666666666666,2.8333333333333335,0.6666666666666666,11.666666666666666,0.0,0.16666666666666666,1.0,0.16666666666666666,1.6666666666666667,0.5,3.1666666666666665,6
2021-01-25,0.35294117647058826,0.35294117647058826,3.411764705882353,0.4117647058823529,12.411764705882353,0.23529411764705882,0.23529411764705882,0.9411764705882353,0.058823529411764705,1.3529411764705883,0.29411764705882354,3.3529411764705883,17
2021-01-26,0.25,0.25,3.0,0.75,9.0,0.0,0.25,0.75,0.0,0.75,0.0,2.5,4
2021-01-27,0.2727272727272727,0.5454545454545454,2.909090909090909,0.6363636363636364,10.818181818181818,0.0,0.09090909090909091,1.3636363636363635,0.18181818181818182,1.8181818181818181,0.8181818181818182,2.6363636363636362,11
2021-01-28,0.2857142857142857,0.2857142857142857,3.857142857142857,1.1428571428571428,11.428571428571429,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,1.8571428571428572,0.5714285714285714,3.4285714285714284,7
2021-01-29,0.2,0.2,2.4,0.4,9.6,0.0,0.0,2.2,0.0,1.2,1.0,3.0,5
2021-01-30,0.0,0.4,3.2,0.2,12.4,0.2,0.0,0.4,0.2,1.8,0.6,3.4,5
2021-01-31,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.0,9.666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.0,3.3333333333333335,3
