Dates,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T,N
2021-03-21,0.6447368421052632,1.1973684210526316,3.6315789473684212,1.381578947368421,13.605263157894736,0.18421052631578946,0.5263157894736842,2.0921052631578947,0.5526315789473685,2.6973684210526314,1.394736842105263,3.0526315789473686,76
2021-03-22,0.25,1.0,3.75,1.5833333333333333,14.416666666666666,0.08333333333333333,0.5,2.5,0.6666666666666666,1.9166666666666667,1.4166666666666667,3.1666666666666665,12
2021-03-23,0.4,1.425,3.8,1.775,14.05,0.075,0.6,2.275,0.75,2.1,1.775,2.325,40
2021-03-24,0.2777777777777778,1.3333333333333333,3.3194444444444446,1.7638888888888888,13.458333333333334,0.027777777777777776,0.6111111111111112,2.236111111111111,0.625,2.1944444444444446,1.625,2.5416666666666665,72
2021-03-25,0.3838383838383838,1.2323232323232323,3.5555555555555554,1.606060606060606,13.808080808080808,0.13131313131313133,0.6464646464646465,2.1414141414141414,0.6666666666666666,2.292929292929293,1.7373737373737375,2.8686868686868685,99
2021-03-26,0.5454545454545454,1.6363636363636365,3.8181818181818183,1.9696969696969697,13.424242424242424,0.18181818181818182,0.7575757575757576,2.4242424242424243,0.7878787878787878,2.515151515151515,2.1515151515151514,2.8484848484848486,33
2021-03-27,0.39285714285714285,1.4642857142857142,3.2857142857142856,1.8928571428571428,13.964285714285714,0.07142857142857142,0.6785714285714286,2.1785714285714284,0.8571428571428571,2.4642857142857144,1.8571428571428572,2.9642857142857144,28
2021-03-28,0.5,1.5,3.8461538461538463,1.6923076923076923,13.653846153846153,0.19230769230769232,0.6538461538461539,1.9615384615384615,0.8461538461538461,2.6538461538461537,2.0,2.6923076923076925,26
2021-03-29,0.5,1.631578947368421,3.736842105263158,1.9210526315789473,14.026315789473685,0.13157894736842105,0.8157894736842105,2.4210526315789473,0.7368421052631579,2.736842105263158,2.0789473684210527,2.8157894736842106,38
2021-03-30,0.2876712328767123,1.6849315068493151,3.493150684931507,2.136986301369863,13.726027397260275,0.1095890410958904,0.8356164383561644,2.328767123287671,0.7397260273972602,2.410958904109589,2.164383561643836,2.5753424657534247,73
2021-03-31,0.4,1.34,3.84,1.7,14.12,0.1,0.62,2.48,0.82,2.52,1.72,2.68,50
