Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-04-06,MZ084302.1,USA: Arizona,0.0,1.0,3.0,0.0,12.0,0.0,1.0,2.0,1.0,0.0,1.0,8.0
2021-04-06,MZ033040.1,USA: Arizona,2.0,2.0,3.0,1.0,12.0,2.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-06,MZ033041.1,USA: Arizona,2.0,2.0,4.0,1.0,13.0,1.0,1.0,2.0,1.0,5.0,3.0,5.0
2021-04-06,MZ035182.1,USA: Arizona,0.0,1.0,2.0,0.0,18.0,0.0,0.0,4.0,1.0,1.0,1.0,6.0
2021-04-06,MZ035798.1,USA: Arizona,0.0,1.0,3.0,0.0,14.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0
2021-04-06,MZ035821.1,USA: Arizona,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0
2021-04-06,MZ035824.1,USA: Arizona,2.0,2.0,4.0,1.0,14.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-06,MZ035867.1,USA: Arizona,0.0,4.0,3.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-04-07,MZ084750.1,USA: Arizona,0.0,3.0,3.0,3.0,15.0,0.0,2.0,3.0,1.0,2.0,4.0,4.0
2021-04-07,MZ086249.1,USA: Arizona,0.0,2.0,6.0,3.0,20.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-07,MZ086250.1,USA: Arizona,0.0,1.0,2.0,0.0,11.0,0.0,0.0,4.0,1.0,0.0,0.0,8.0
2021-04-07,MZ086476.1,USA: Arizona,0.0,3.0,2.0,3.0,14.0,0.0,1.0,4.0,1.0,4.0,3.0,1.0
2021-04-07,MZ086734.1,USA: Arizona,0.0,3.0,2.0,3.0,14.0,0.0,1.0,4.0,1.0,4.0,3.0,1.0
2021-04-07,MZ069209.1,USA: Arizona,0.0,4.0,3.0,3.0,12.0,0.0,1.0,2.0,1.0,4.0,3.0,4.0
2021-04-07,MZ060119.1,USA: Arizona,0.0,3.0,3.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-07,MZ060261.1,USA: Arizona,1.0,0.0,3.0,0.0,11.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-04-07,MZ056027.1,USA: AZ,1.0,3.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-04-07,MZ034818.1,USA: Arizona,0.0,0.0,5.0,2.0,15.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
2021-04-07,MZ034822.1,USA: Arizona,0.0,1.0,2.0,0.0,13.0,0.0,0.0,3.0,1.0,1.0,0.0,6.0
2021-04-07,MZ034858.1,USA: Arizona,1.0,2.0,3.0,1.0,11.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0
2021-04-07,MZ035714.1,USA: Arizona,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0
2021-04-07,MZ035739.1,USA: Arizona,0.0,2.0,4.0,3.0,12.0,0.0,1.0,2.0,1.0,5.0,5.0,2.0
2021-04-07,MZ035747.1,USA: Arizona,0.0,2.0,4.0,3.0,12.0,0.0,1.0,2.0,1.0,4.0,4.0,2.0
2021-04-07,MZ039395.1,USA: Arizona,0.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
2021-04-08,MZ085917.1,USA: Arizona,0.0,2.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,5.0
2021-04-08,MZ086382.1,USA: Arizona,2.0,0.0,6.0,0.0,15.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0
2021-04-08,MZ086510.1,USA: Arizona,0.0,0.0,2.0,0.0,10.0,1.0,0.0,3.0,0.0,2.0,0.0,3.0
2021-04-08,MZ057994.1,USA: Arizona,0.0,5.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0
2021-04-08,MZ059988.1,USA: Arizona,0.0,4.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-04-08,MZ059998.1,USA: Arizona,0.0,2.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0
2021-04-08,MZ056045.1,USA: AZ,0.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0
2021-04-08,MZ033176.1,USA: Arizona,0.0,2.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
